Atom    Auger Transition/Notation(Barkla)    Auger Transition/Notation(Orbital)      Auger Energies/Core State Energies
W       O4                                   5d 3/2                                                                8.27
W       O5                                   5d 5/2                                                                7.41
W       P1                                   6s 1/2                                                                7.7
W       M3,N1,N3                             3p3/2 4s1/2 4p3/2                                                    13.77
Re      O4                                   5d 3/2                                                                9.52
Re      O5                                   5d 5/2                                                                8.5
Re      P1                                   6s 1/2                                                                8.06
Re      L2,L3,O3                             2p1/2 2p3/2 5p3/2                                                    19.38
Re      M4,N1,O1                             3d3/2 4s1/2 5s1/2                                                    18.58
Re      M4,N3,N5                             3d3/2 4p3/2 4d5/2                                                    19.63
Re      M5,N1,O4                             3d5/2 4s1/2 5d3/2                                                     2.98
Re      M5,N1,O5                             3d5/2 4s1/2 5d5/2                                                     1.88
Re      M5,N1,P1                             3d5/2 4s1/2 6s1/2                                                     1.05
Os      O4                                   5d 3/2                                                               10.79
Os      O5                                   5d 5/2                                                                9.6
Os      P1                                   6s 1/2                                                                8.39
Os      L1,L3,N1                             2s1/2 2p3/2 4s1/2                                                    10.77
Os      M5,N1,N6                             3d5/2 4s1/2 4f5/2                                                    13.14
Os      M5,N1,N7                             3d5/2 4s1/2 4f7/2                                                    10.03
Os      M5,N1,O2                             3d5/2 4s1/2 5p1/2                                                    10.22
Ir      O4                                   5d 3/2                                                                7.99
Ir      O5                                   5d 5/2                                                                6.79
Ir      M5,N1,O1                             3d5/2 4s1/2 5s1/2                                                     6.36
Ir      M5,N3,N5                             3d5/2 4p3/2 4d5/2                                                    12.36
Pt      O4                                   5d 3/2                                                               11.02
Pt      O5                                   5d 5/2                                                                9.54
Pt      P1                                   6s 1/2                                                                8.07
Pt      L2,L3,N5                             2p1/2 2p3/2 4d5/2                                                    10.61
Pt      M4,N2,N4                             3d3/2 4p1/2 4d3/2                                                     4.72
Au      O4                                   5d 3/2                                                               12.16
Au      O5                                   5d 5/2                                                               10.46
Au      P1                                   6s 1/2                                                                8.3
Hg      O4                                   5d 3/2                                                               15.98
Hg      O5                                   5d 5/2                                                               13.96
Hg      P1                                   6s 1/2                                                                9.55
Hg      M5,N2,N5                             3d5/2 4p1/2 4d5/2                                                    18.14
Tl      P1                                   6s 1/2                                                               12.36
Tl      P2                                   6p 1/2                                                                5.46
Tl      P3                                   6p 3/2                                                                4.3
Tl      M3,N1,N1                             3p3/2 4s1/2 4s1/2                                                    17.15
Tl      M4,N1,N5                             3d3/2 4s1/2 4d5/2                                                    12.79
Tl      M5,N2,N4                             3d5/2 4p1/2 4d3/2                                                    15.48
Pb      P1                                   6s 1/2                                                               15.05
Pb      P2                                   6p 1/2                                                                7
Pb      P3                                   6p 3/2                                                                5.29
Pb      L2,L3,N2                             2p1/2 2p3/2 4p1/2                                                    12.82
Pb      M4,N1,N4                             3d3/2 4s1/2 4d3/2                                                     9.07
Bi      P1                                   6s 1/2                                                               17.69
Bi      P2                                   6p 1/2                                                                8.6
Bi      P3                                   6p 3/2                                                                6.35
Bi      M1,M5,O3                             3s1/2 3d5/2 5p3/2                                                    17.74
Po      P2                                   6p 1/2                                                               10.25
Po      P3                                   6p 3/2                                                                7.44
At      P2                                   6p 1/2                                                               11.94
At      P3                                   6p 3/2                                                                8.54
At      M1,M5,O1                             3s1/2 3d5/2 5s1/2                                                     9.83
At      M4,N2,N3                             3d3/2 4p1/2 4p3/2                                                    17.33
Rn      P2                                   6p 1/2                                                               13.69
Rn      P3                                   6p 3/2                                                                9.64
Rn      M1,M5,N6                             3s1/2 3d5/2 4f5/2                                                     5.71
Rn      M5,N1,N5                             3d5/2 4s1/2 4d5/2                                                    13.68
Fr      P2                                   6p 1/2                                                               19.28
Fr      P3                                   6p 3/2                                                               14.14
Fr      Q1                                   7s 1/2                                                                3.8
Fr      M2,M5,P2                             3p1/2 3d5/2 6p1/2                                                    18.43
Fr      M2,M5,P3                             3p1/2 3d5/2 6p3/2                                                    12.73
Fr      M2,M5,Q1                             3p1/2 3d5/2 7s1/2                                                     0.62
Ra      P3                                   6p 3/2                                                               18.62
Ra      Q1                                   7s 1/2                                                                4.73
Ra      M5,N1,N4                             3d5/2 4s1/2 4d3/2                                                    18.04
Ac      P4                                   6d 3/2                                                                4.49
Ac      P5                                   6d 5/2                                                                4
Ac      Q1                                   7s 1/2                                                                5.41
Ac      M1,M4,O1                             3s1/2 3d3/2 5s1/2                                                     4.73
Ac      M5,N1,N4                             3d5/2 4s1/2 4d3/2                                                     4.71
Ac      N1,P4,P4                             4s1/2 6d3/2 6d3/2                                                    14.21
Ac      N1,P4,P5                             4s1/2 6d3/2 6d5/2                                                    13.65
Ac      N1,P4,Q1                             4s1/2 6d3/2 7s1/2                                                    14.85
Ac      N1,P5,P5                             4s1/2 6d5/2 6d5/2                                                    13.08
Ac      N1,P5,Q1                             4s1/2 6d5/2 7s1/2                                                    14.28
Ac      N1,Q1,Q1                             4s1/2 7s1/2 7s1/2                                                    15.48
Th      P4                                   6d 3/2                                                                5.62
Th      P5                                   6d 5/2                                                                4.98
Th      Q1                                   7s 1/2                                                                5.97
Th      M1,M4,N7                             3s1/2 3d3/2 4f7/2                                                    12.82
Th      M2,M4,P2                             3p1/2 3d3/2 6p1/2                                                    14.31
Th      M2,M4,P3                             3p1/2 3d3/2 6p3/2                                                     5.66
Th      M2,M5,O3                             3p1/2 3d5/2 5p3/2                                                     4.84
Th      N1,P1,P3                             4s1/2 6s1/2 6p3/2                                                    17.7
Th      N1,P2,P2                             4s1/2 6p1/2 6p1/2                                                     9.13
Th      N1,P2,P3                             4s1/2 6p1/2 6p3/2                                                     0.48
Pa      O6                                   5f 5/2                                                                7.64
Pa      O7                                   5f 7/2                                                                6.8
Pa      P4                                   6d 3/2                                                                4.71
Pa      P5                                   6d 5/2                                                                4.13
Pa      Q1                                   7s 1/2                                                                5.67
Pa      M2,M5,O2                             3p1/2 3d5/2 5p1/2                                                     3.83
Pa      N1,O4,O6                             4s1/2 5d3/2 5f5/2                                                     8.99
Pa      N1,O4,O7                             4s1/2 5d3/2 5f7/2                                                     8.09
Pa      N1,O4,P4                             4s1/2 5d3/2 6d3/2                                                     5.44
Pa      N1,O4,P5                             4s1/2 5d3/2 6d5/2                                                     4.85
Pa      N1,O4,Q1                             4s1/2 5d3/2 7s1/2                                                     6.44
Pa      N1,O5,O6                             4s1/2 5d5/2 5f5/2                                                     0.99
Pa      N1,O5,O7                             4s1/2 5d5/2 5f7/2                                                     0.09
Pa      N1,O5,P3                             4s1/2 5d5/2 6p3/2                                                    16.91
U       O6                                   5f 5/2                                                                8.91
U       O7                                   5f 7/2                                                                7.95
U       P4                                   6d 3/2                                                                4.74
U       P5                                   6d 5/2                                                                4.13
U       Q1                                   7s 1/2                                                                5.78
U       M2,M5,O1                             3p1/2 3d5/2 5s1/2                                                    12.2
U       M4,N1,N3                             3d3/2 4s1/2 4p3/2                                                    16.85
U       N1,O4,P1                             4s1/2 5d3/2 6s1/2                                                     2.42
U       N2,O6,O6                             4p1/2 5f5/2 5f5/2                                                     8.43
U       N2,O6,O7                             4p1/2 5f5/2 5f7/2                                                     7.41
U       N2,O6,P4                             4p1/2 5f5/2 6d3/2                                                     3.66
U       N2,O6,P5                             4p1/2 5f5/2 6d5/2                                                     3.03
U       N2,O6,Q1                             4p1/2 5f5/2 7s1/2                                                     4.74
U       N2,O7,O7                             4p1/2 5f7/2 5f7/2                                                     6.38
U       N2,O7,P4                             4p1/2 5f7/2 6d3/2                                                     2.63
U       N2,O7,P5                             4p1/2 5f7/2 6d5/2                                                     2.01
U       N2,O7,Q1                             4p1/2 5f7/2 7s1/2                                                     3.72
U       N2,P3,P4                             4p1/2 6p3/2 6d3/2                                                    19.05
U       N2,P3,P5                             4p1/2 6p3/2 6d5/2                                                    18.43
U       N2,Q1,Q1                             4p1/2 7s1/2 7s1/2                                                     1.06
Np      O6                                   5f 5/2                                                               10.12
Np      O7                                   5f 7/2                                                                9.03
Np      P4                                   6d 3/2                                                                4.75
Np      P5                                   6d 5/2                                                                4.11
Np      Q1                                   7s 1/2                                                                5.88
Np      M5,N2,N3                             3d5/2 4p1/2 4p3/2                                                    18.9
Np      N1,O3,P3                             4s1/2 5p3/2 6p3/2                                                    13.52
Np      N1,O4,O4                             4s1/2 5d3/2 5d3/2                                                    12.68
Np      N1,O4,O5                             4s1/2 5d3/2 5d5/2                                                     3.35
Np      N2,P1,P3                             4p1/2 6s1/2 6p3/2                                                    12.19
Np      N2,P2,P2                             4p1/2 6p1/2 6p1/2                                                     3.54
