Atom    Auger Transition/Notation      Auger Energies/Core State Energies
V       L3,M1,M2                                                   395.78
V       L3,M1,M3                                                   396.74
V       L3,M1,M4                                                   438.7
V       L3,M1,M5                                                   438.78
V       L3,M1,N1                                                   440.44
V       L3,M2,M2                                                   422.64
V       L3,M2,M3                                                   423.59
V       L3,M2,M4                                                   465.55
V       L3,M2,M5                                                   465.64
V       L3,M2,N1                                                   467.29
V       L3,M3,M3                                                   424.55
V       L3,M3,M4                                                   466.51
V       L3,M3,M5                                                   466.59
V       L3,M3,N1                                                   468.25
V       M1,M2,M4                                                    17.43
V       M1,M2,M5                                                    17.52
V       M1,M2,N1                                                    19.17
V       M1,M3,M4                                                    18.39
V       M1,M3,M5                                                    18.47
V       M1,M3,N1                                                    20.13
V       M1,M4,M4                                                    60.35
V       M1,M4,M5                                                    60.44
V       M1,M4,N1                                                    62.09
V       M1,M5,M5                                                    60.52
V       M1,M5,N1                                                    62.17
V       M1,N1,N1                                                    63.83
V       M2,M4,M4                                                    34.58
V       M2,M4,M5                                                    34.66
V       M2,M4,N1                                                    36.32
V       M2,M5,M5                                                    34.75
V       M2,M5,N1                                                    36.41
V       M2,N1,N1                                                    38.06
V       M3,M4,M4                                                    33.72
V       M3,M4,M5                                                    33.8
V       M3,M4,N1                                                    35.46
V       M3,M5,M5                                                    33.89
V       M3,M5,N1                                                    35.55
V       M3,N1,N1                                                    37.2
Cr      M1                                                          79.19
Cr      M2                                                          51.25
Cr      M3                                                          50.2
Cr      L1,L2,M4                                                    51.83
Cr      L1,L2,M5                                                    51.94
Cr      L1,L2,N1                                                    54.38
Cr      L1,L3,M2                                                    14.16
Cr      L1,L3,M3                                                    15.34
Cr      L1,L3,M4                                                    61.67
Cr      L1,L3,M5                                                    61.78
Cr      L1,L3,N1                                                    64.22
Cr      L2,M1,M1                                                   417.97
Cr      L2,M1,M2                                                   447.19
Cr      L2,M1,M3                                                   448.37
Cr      L2,M1,M4                                                   494.7
Cr      L2,M1,M5                                                   494.81
Cr      L2,M1,N1                                                   497.25
Cr      L2,M2,M2                                                   476.4
Cr      L2,M2,M3                                                   477.58
Cr      L2,M3,M3                                                   478.76
Cr      L3,M1,M1                                                   409.04
Cr      L3,M1,M2                                                   438.25
Cr      L3,M1,M3                                                   439.43
Cr      L3,M1,M4                                                   485.77
Cr      L3,M1,M5                                                   485.88
Cr      L3,M1,N1                                                   488.32
